v_cmd,w_cmd,v_ref
0.19998855888843536,-0.2854028046131134,0.04999994859099388
0.19999071955680847,-0.2445434182882309,0.04999994859099388
0.1999937891960144,-0.17886477708816528,0.04999994859099388
0.19999252259731293,-0.04921456053853035,0.04999994859099388
0.199990376830101,0.05716966837644577,0.04999994859099388
0.1999884694814682,0.13612069189548492,0.04999994859099388
0.1999872922897339,0.18512023985385895,0.04999994859099388
0.19998720288276672,0.21941392123699188,0.04999994859099388
0.19998662173748016,0.25190481543540955,0.04999994859099388
0.1999865174293518,0.2768791615962982,0.04999994859099388
0.12176501750946045,0.2987480163574219,0.04999994859099388
0.030882911756634712,0.3019309341907501,0.04999994859099388
0.00010399633174529299,0.2973753809928894,0.04999994859099388
2.1092151655466296e-05,0.2861325442790985,0.04999994859099388
1.2485204024414998e-05,0.26712608337402344,0.04999994859099388
1.2496216186264064e-05,0.24330593645572662,0.04999994859099388
1.44456480484223e-05,0.22500814497470856,0.04999994859099388
1.8454749806551263e-05,0.20668980479240417,0.04999994859099388
2.4641094569233246e-05,0.18825310468673706,0.04999994859099388
4.2392948671476915e-05,0.16720135509967804,0.04999994859099388
9.939636220224202e-05,0.1470922976732254,0.04999994859099388
0.0003235845360904932,0.12776638567447662,0.04999994859099388
0.003887769067659974,0.11124661564826965,0.04999994859099388
0.019996952265501022,0.09864732623100281,0.04999994859099388
0.04137716442346573,0.08996880054473877,0.04999994859099388
0.06466783583164215,0.0840129628777504,0.04999994859099388
0.08773931115865707,0.079389289021492,0.04999994859099388
0.11229468882083893,0.07224488258361816,0.04999994859099388
0.13885366916656494,0.047231610864400864,0.04999994859099388
0.16142508387565613,0.019109712913632393,0.04999994859099388
0.1763712465763092,-0.012203427962958813,0.04999994859099388
0.18376952409744263,-0.037568822503089905,0.04999994859099388
0.18026615679264069,-0.058206770569086075,0.04999994859099388
0.15508726239204407,-0.0759812742471695,0.06951470673084259
0.11590176075696945,-0.09042313694953918,0.09420138597488403
0.09767714142799377,-0.09980541467666626,0.10672677308320999
0.07883751392364502,-0.11185581237077713,0.10990233719348907
0.05105604603886604,-0.1265021562576294,0.10666262358427048
0.03325401991605759,-0.1380189210176468,0.10177259147167206
0.027354801073670387,-0.14516636729240417,0.09292995184659958
0.02319485694169998,-0.14615358412265778,0.08162575960159302
0.026000747457146645,-0.14343760907649994,0.07020734995603561
0.03280914947390556,-0.13917845487594604,0.06068391725420952
0.043990544974803925,-0.12957517802715302,0.05491117760539055
0.0581512376666069,-0.11839128285646439,0.05066690966486931
0.07170950621366501,-0.1060626283288002,0.05024714395403862
0.08309958875179291,-0.09045494347810745,0.0539233423769474
0.09490810334682465,-0.07755184918642044,0.061144113540649414
0.10501952469348907,-0.06300953775644302,0.06544089317321777
0.11004222929477692,-0.04953209310770035,0.07375284284353256
0.11577804386615753,-0.03913985937833786,0.08252445608377457
0.1187748908996582,-0.028782490640878677,0.09289040416479111
0.12374388426542282,-0.02306903339922428,0.09656517207622528
0.12715493142604828,-0.018805380910634995,0.10515146702528
0.12652596831321716,-0.016943637281656265,0.11106684058904648
0.13131819665431976,-0.01670212671160698,0.10908535867929459
0.13540180027484894,-0.01887013576924801,0.12020709365606308
0.13316130638122559,-0.019419707357883453,0.12406183034181595
0.12854498624801636,-0.018338924273848534,0.13045282661914825
0.12388060241937637,-0.018342960625886917,0.1335408240556717
0.125033438205719,-0.01977699063718319,0.13438384234905243
0.1276187002658844,-0.021686328575015068,0.13383466005325317
0.12188822031021118,-0.020981138572096825,0.1336059272289276
0.1243981271982193,-0.023221006616950035,0.13533180952072144
0.13187125325202942,-0.027560003101825714,0.13397586345672607
0.13445186614990234,-0.029050175100564957,0.13677920401096344
0.13999521732330322,-0.03074730560183525,0.13837778568267822
0.14367622137069702,-0.032052602618932724,0.1349521279335022
0.1441056728363037,-0.031827885657548904,0.14645817875862122
0.15352170169353485,-0.03339289501309395,0.14850196242332458
0.1591993272304535,-0.03314751014113426,0.15294858813285828
0.1641678363084793,-0.033204611390829086,0.15678325295448303
0.16549716889858246,-0.031746599823236465,0.16192561388015747
0.1673802137374878,-0.02866368740797043,0.16414642333984375
0.1641947329044342,-0.02820824272930622,0.1728992462158203
0.16906076669692993,-0.02862272970378399,0.1728704571723938
0.16898174583911896,-0.028771057724952698,0.17214564979076385
0.17155671119689941,-0.026610998436808586,0.17565663158893585
0.17823714017868042,-0.026444481685757637,0.17800669372081757
0.17672854661941528,-0.029472341760993004,0.17487768828868866
