t,slot1,slot2,slot3,slot4
0.15168309211730957,11.94415283203125,14.371086120605469,11.195744514465332,14.43299674987793
0.16168498992919922,11.94415283203125,14.371086120605469,11.195744514465332,14.43299674987793
0.17251348495483398,11.94070053100586,14.361701011657715,11.191893577575684,14.425163269042969
0.18199491500854492,11.93720531463623,14.35228443145752,11.188014030456543,14.41730785369873
0.191786527633667,11.933753967285156,14.342921257019043,11.184165954589844,14.409491539001465
0.20174837112426758,11.930314064025879,14.333575248718262,11.180315017700195,14.401674270629883
0.21189212799072266,11.926863670349121,14.324234962463379,11.176469802856445,14.393874168395996
0.2216956615447998,11.923460006713867,14.314943313598633,11.172643661499023,14.386094093322754
0.23170232772827148,11.920001983642578,14.305618286132812,11.168797492980957,14.378308296203613
0.24171066284179688,11.91655158996582,14.296318054199219,11.164971351623535,14.370555877685547
0.2516512870788574,11.913104057312012,14.28702163696289,11.161130905151367,14.362789154052734
0.2617349624633789,11.909666061401367,14.27774715423584,11.15730094909668,14.355039596557617
0.2718982696533203,11.906228065490723,14.268478393554688,11.153462409973145,14.34728717803955
0.2821810245513916,11.902743339538574,14.259184837341309,11.149613380432129,14.339539527893066
0.29183077812194824,11.899297714233398,14.249933242797852,11.145777702331543,14.331805229187012
0.3016836643218994,11.895889282226562,14.240726470947266,11.1419677734375,14.324103355407715
0.3117256164550781,11.892444610595703,14.231496810913086,11.138134956359863,14.316385269165039
0.3220546245574951,11.88900089263916,14.222277641296387,11.134303092956543,14.308675765991211
0.3316977024078369,11.88548469543457,14.212982177734375,11.130390167236328,14.300882339477539
0.34175801277160645,11.882041931152344,14.203784942626953,11.126561164855957,14.29318904876709
0.35186195373535156,11.878600120544434,14.194599151611328,11.122733116149902,14.285504341125488
0.3620433807373047,11.875221252441406,14.185484886169434,11.118949890136719,14.27786922454834
0.3717007637023926,11.871833801269531,14.17638111114502,11.115179061889648,14.270261764526367
0.38176536560058594,11.868393898010254,14.167226791381836,11.11135482788086,14.262600898742676
0.3916914463043213,11.864970207214355,14.158106803894043,11.107556343078613,14.25497817993164
0.40176820755004883,11.861531257629395,14.148974418640137,11.103734016418457,14.247333526611328
0.412217378616333,11.85809326171875,14.139853477478027,11.099913597106934,14.239696502685547
0.4217948913574219,11.854499816894531,14.130582809448242,11.095972061157227,14.231945991516113
0.43182945251464844,11.851062774658203,14.121482849121094,11.092153549194336,14.224325180053711
0.4417712688446045,11.847626686096191,14.112393379211426,11.088335990905762,14.21671199798584
0.45177292823791504,11.84419059753418,14.103314399719238,11.084519386291504,14.209107398986816
0.4618794918060303,11.840811729431152,14.094306945800781,11.080754280090332,14.20156192779541
0.47178101539611816,11.837377548217773,14.085249900817871,11.076940536499023,14.193973541259766
0.4817526340484619,11.833943367004395,14.076203346252441,11.073127746582031,14.186391830444336
0.4917902946472168,11.830581665039062,14.067231178283691,11.069353103637695,14.178848266601562
0.5018126964569092,11.8271484375,14.058205604553223,11.065543174743652,14.171282768249512
0.5117738246917725,11.82374095916748,14.049209594726562,11.06174087524414,14.163726806640625
0.5217211246490479,11.82025146484375,14.040144920349121,11.057886123657227,14.156129837036133
0.531879186630249,11.816823959350586,14.031156539916992,11.054086685180664,14.148597717285156
0.5417423248291016,11.813350677490234,14.02213191986084,11.050252914428711,14.141036033630371
0.551708459854126,11.809920310974121,14.013158798217773,11.046448707580566,14.13351058959961
0.5618529319763184,11.80648136138916,14.00419807434082,11.042661666870117,14.126018524169922
0.5718274116516113,11.803020477294922,13.995224952697754,11.038858413696289,14.118515968322754
0.5818252563476562,11.79958438873291,13.986273765563965,11.035049438476562,14.111005783081055
0.5918066501617432,11.796175003051758,13.977356910705566,11.031253814697266,14.103509902954102
0.6023545265197754,11.792747497558594,13.968435287475586,11.02745532989502,14.096022605895996
0.6120123863220215,11.789388656616211,13.959589004516602,11.023700714111328,14.088582038879395
0.621610164642334,11.785931587219238,13.95064640045166,11.01986026763916,14.081056594848633
0.6316933631896973,11.782553672790527,13.941800117492676,11.016092300415039,14.073616981506348
0.6417880058288574,11.779157638549805,13.932943344116211,11.012306213378906,14.066161155700684
0.6517367362976074,11.775738716125488,13.92407512664795,11.008509635925293,14.05870532989502
0.661933183670044,11.772321701049805,13.91523551940918,11.00475025177002,14.051307678222656
0.671759843826294,11.768861770629883,13.906351089477539,11.000933647155762,14.04384994506836
0.6816623210906982,11.765450477600098,13.897528648376465,10.997163772583008,14.036447525024414
0.6917693614959717,11.76195240020752,13.888640403747559,10.993350982666016,14.02901840209961
0.7016716003417969,11.75853157043457,13.87982177734375,10.989564895629883,14.021608352661133
0.7116620540618896,11.755071640014648,13.8709716796875,10.985743522644043,14.014166831970215
0.7216770648956299,11.751633644104004,13.862149238586426,10.981931686401367,14.006738662719727
0.7316553592681885,11.748200416564941,13.85334587097168,10.978134155273438,13.999336242675781
0.7416257858276367,11.744816780090332,13.84459400177002,10.974357604980469,13.99195384979248
0.7516617774963379,11.741462707519531,13.835893630981445,10.970632553100586,13.984638214111328
0.7617447376251221,11.738041877746582,13.82712459564209,10.966830253601074,13.977243423461914
0.771660327911377,11.734699249267578,13.818449020385742,10.963101387023926,13.969931602478027
0.7816534042358398,11.731279373168945,13.809717178344727,10.959339141845703,13.962604522705078
0.7916667461395264,11.727812767028809,13.800938606262207,10.955523490905762,13.955222129821777
0.8016684055328369,11.724335670471191,13.792177200317383,10.951736450195312,13.947891235351562
0.8116602897644043,11.72092056274414,13.783470153808594,10.94796371459961,13.940564155578613
0.8216996192932129,11.7174654006958,13.774736404418945,10.944168090820312,13.933226585388184
